#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
MAPK8,MAPK9,9606.ENSP00000378974,9606.ENSP00000394560,0,0,0.05,0.981,0.082,0.994,0.9,0.55,0.999
CREBBP,EP300,9606.ENSP00000262367,9606.ENSP00000263253,0,0,0.062,0.956,0.839,0.782,0.9,0.983,0.999
JUN,JUND,9606.ENSP00000360266,9606.ENSP00000252818,0,0,0.054,0.924,0.163,0.86,0.9,0.983,0.999
JUN,JUNB,9606.ENSP00000360266,9606.ENSP00000303315,0,0,0,0.897,0.543,0.639,0.9,0.983,0.999
BCL2,BCL2L1,9606.ENSP00000381185,9606.ENSP00000365230,0,0,0,0.894,0,0.863,0.9,0.984,0.999
JUNB,JUND,9606.ENSP00000303315,9606.ENSP00000252818,0,0,0.067,0.879,0.258,0.704,0.9,0.984,0.999
SMAD3,SMAD4,9606.ENSP00000332973,9606.ENSP00000341551,0,0,0,0.864,0.087,0.999,0.9,0.988,0.999
FOS,FOSB,9606.ENSP00000306245,9606.ENSP00000245919,0,0,0.066,0.861,0.826,0.359,0.9,0.984,0.999
MDM2,MDM4,9606.ENSP00000258149,9606.ENSP00000356150,0,0,0,0.788,0.098,0.999,0.9,0.986,0.999
HSPA4,HSPA8,9606.ENSP00000302961,9606.ENSP00000437125,0,0,0.142,0.776,0.418,0.881,0.5,0.983,0.999
NFKB1,RELA,9606.ENSP00000226574,9606.ENSP00000384273,0,0,0,0.769,0.182,0.999,0.9,0.986,0.999
BAK1,BCL2L1,9606.ENSP00000363591,9606.ENSP00000365230,0,0,0,0.683,0.067,0.996,0.9,0.95,0.999
BAK1,BCL2,9606.ENSP00000363591,9606.ENSP00000381185,0,0,0,0.669,0,0.788,0.9,0.969,0.999
EGFR,SRC,9606.ENSP00000275493,9606.ENSP00000362680,0,0,0,0.665,0.042,0.928,0.9,0.988,0.999
TLR2,TLR4,9606.ENSP00000260010,9606.ENSP00000363089,0,0,0,0.622,0.369,0,0.9,0.989,0.999
MAP2K3,MAPK14,9606.ENSP00000345083,9606.ENSP00000229795,0,0,0.142,0.613,0.056,0.949,0.9,0.864,0.999
UQCRC1,UQCRC2,9606.ENSP00000203407,9606.ENSP00000268379,0,0,0.216,0.611,0.955,0.999,0.975,0.972,0.999
PLRG1,PRPF19,9606.ENSP00000424417,9606.ENSP00000227524,0,0,0,0.598,0.148,0.997,0.9,0.989,0.999
MAP2K4,MAPK9,9606.ENSP00000410402,9606.ENSP00000394560,0,0,0.108,0.583,0.243,0.995,0.9,0.359,0.999
MAP2K4,MAPK8,9606.ENSP00000410402,9606.ENSP00000378974,0,0,0.111,0.583,0.151,0.995,0.9,0.892,0.999
ATF2,JUN,9606.ENSP00000264110,9606.ENSP00000360266,0,0,0,0.579,0.061,0.993,0.9,0.989,0.999
ATM,ATR,9606.ENSP00000278616,9606.ENSP00000343741,0,0,0,0.564,0.213,0.974,0.9,0.745,0.999
AP2A2,AP2B1,9606.ENSP00000327694,9606.ENSP00000483185,0,0,0,0.554,0.091,0.985,0.9,0.835,0.999
AP2A1,AP2B1,9606.ENSP00000351926,9606.ENSP00000483185,0,0,0,0.553,0.277,0.919,0.9,0.943,0.999
HSP90B1,HSPA5,9606.ENSP00000299767,9606.ENSP00000324173,0,0,0,0,0.991,0.716,0.36,0.997,0.999
GPI,TPI1,9606.ENSP00000405573,9606.ENSP00000229270,0.229,0,0,0,0.975,0.394,0.8,0.846,0.999
SDHA,SDHB,9606.ENSP00000264932,9606.ENSP00000364649,0.231,0.03,0.47,0,0.971,0.997,0.98,0.999,0.999
CYC1,UQCRC2,9606.ENSP00000317159,9606.ENSP00000268379,0,0,0,0,0.965,0.991,0.907,0.904,0.999
GAPDH,TPI1,9606.ENSP00000380070,9606.ENSP00000229270,0.115,0.887,0,0,0.924,0.712,0.978,0.95,0.999
CYC1,UQCRC1,9606.ENSP00000317159,9606.ENSP00000203407,0,0,0,0,0.917,0.992,0.889,0.944,0.999
PGK1,TPI1,9606.ENSP00000362413,9606.ENSP00000229270,0.115,0.899,0,0,0.881,0.603,0.34,0.916,0.999
HSP90AB1,HSPA8,9606.ENSP00000360609,9606.ENSP00000437125,0,0.002,0,0,0.831,0.807,0.54,0.999,0.999
TALDO1,TKT,9606.ENSP00000321259,9606.ENSP00000391481,0.115,0,0,0,0.829,0.416,0.965,0.943,0.999
ALDOA,GAPDH,9606.ENSP00000496166,9606.ENSP00000380070,0.079,0,0,0,0.827,0.345,0.938,0.927,0.999
FOS,JUNB,9606.ENSP00000306245,9606.ENSP00000303315,0,0,0,0,0.809,0.907,0.9,0.995,0.999
CYC1,UQCRH,9606.ENSP00000317159,9606.ENSP00000309565,0,0,0,0,0.807,0.995,0.744,0.88,0.999
GAPDHS,TPI1,9606.ENSP00000222286,9606.ENSP00000229270,0.115,0.871,0,0,0.804,0.137,0.978,0.604,0.999
GAPDH,PGK1,9606.ENSP00000380070,9606.ENSP00000362413,0.091,0.018,0,0,0.796,0.796,0.942,0.983,0.999
FOSB,JUN,9606.ENSP00000245919,9606.ENSP00000360266,0,0,0,0,0.78,0.807,0.9,0.997,0.999
HSP90AB1,STIP1,9606.ENSP00000360609,9606.ENSP00000351646,0,0,0,0,0.77,0.958,0.72,0.997,0.999
TALDO1,TKTL2,9606.ENSP00000321259,9606.ENSP00000280605,0.115,0,0,0,0.73,0.289,0.965,0.943,0.999
TALDO1,TKTL1,9606.ENSP00000321259,9606.ENSP00000358931,0.115,0,0,0,0.73,0.125,0.965,0.943,0.999
HSP90AA1,HSPA8,9606.ENSP00000335153,9606.ENSP00000437125,0,0.001,0,0,0.725,0.884,0.5,0.999,0.999
HSPA4,STIP1,9606.ENSP00000302961,9606.ENSP00000351646,0,0,0,0,0.725,0.843,0,0.997,0.999
HSP90AA1,STIP1,9606.ENSP00000335153,9606.ENSP00000351646,0,0,0,0,0.708,0.981,0.5,0.998,0.999
FOS,JUN,9606.ENSP00000306245,9606.ENSP00000360266,0,0,0,0,0.69,0.999,0.9,0.999,0.999
GPI,H6PD,9606.ENSP00000405573,9606.ENSP00000473348,0.285,0,0,0,0.681,0,0.982,0.954,0.999
GAPDH,PGK2,9606.ENSP00000380070,9606.ENSP00000305995,0.091,0.017,0,0,0.679,0.104,0.942,0.978,0.999
FOSB,JUNB,9606.ENSP00000245919,9606.ENSP00000303315,0,0,0,0,0.659,0.728,0.9,0.996,0.999
EPRS1,RPL13A,9606.ENSP00000355890,9606.ENSP00000375730,0.119,0,0,0,0.602,0.603,0.9,0.997,0.999
GRPEL1,HSPA9,9606.ENSP00000264954,9606.ENSP00000297185,0.057,0,0,0,0.599,0.958,0.54,0.942,0.999
HSP90AA1,HSPA4,9606.ENSP00000335153,9606.ENSP00000302961,0,0,0,0,0.529,0.876,0,0.999,0.999
G6PD,GPI,9606.ENSP00000377192,9606.ENSP00000405573,0.12,0,0,0,0.524,0,0.978,0.971,0.999
HSP90AB1,HSPA4,9606.ENSP00000360609,9606.ENSP00000302961,0,0,0,0,0.509,0.716,0,0.999,0.999
AHSA1,HSP90AB1,9606.ENSP00000216479,9606.ENSP00000360609,0,0,0,0,0.504,0.938,0,0.995,0.999
BRCA1,RAD51,9606.ENSP00000418960,9606.ENSP00000493712,0,0,0,0,0.501,0.923,0.8,0.999,0.999
DNAJB1,HSP90AB1,9606.ENSP00000254322,9606.ENSP00000360609,0.042,0,0,0,0.486,0.133,0.5,0.999,0.999
AHSA1,HSP90AA1,9606.ENSP00000216479,9606.ENSP00000335153,0,0,0,0,0.477,0.968,0,0.997,0.999
EIF4G1,PABPC1,9606.ENSP00000416255,9606.ENSP00000313007,0,0,0,0,0.458,0.88,0.8,0.999,0.999
HSP90AA1,PPID,9606.ENSP00000335153,9606.ENSP00000303754,0,0,0,0,0.443,0.73,0.5,0.996,0.999
HSP90AB1,PPID,9606.ENSP00000360609,9606.ENSP00000303754,0,0,0,0,0.443,0.643,0.5,0.996,0.999
HSPA8,STIP1,9606.ENSP00000437125,9606.ENSP00000351646,0,0,0,0,0.434,0.99,0.54,0.942,0.999
CTNNBL1,PRPF19,9606.ENSP00000355050,9606.ENSP00000227524,0,0,0,0,0.433,0.78,0.9,0.932,0.999
BCAS2,PRPF19,9606.ENSP00000358554,9606.ENSP00000227524,0,0,0,0,0.429,0.999,0.9,0.993,0.999
DNAJB1,HSPA8,9606.ENSP00000254322,9606.ENSP00000437125,0.041,0,0.414,0,0.406,0.851,0.563,0.999,0.999
RPL13A,SYNCRIP,9606.ENSP00000375730,9606.ENSP00000358635,0,0,0,0,0.393,0.07,0.9,0.996,0.999
DNAJB1,HSP90AA1,9606.ENSP00000254322,9606.ENSP00000335153,0.042,0,0,0,0.374,0.133,0.5,0.999,0.999
FKBP4,HSP90AB1,9606.ENSP00000001008,9606.ENSP00000360609,0,0,0,0,0.333,0.656,0.5,0.998,0.999
FKBP4,HSP90AA1,9606.ENSP00000001008,9606.ENSP00000335153,0,0,0,0,0.332,0.869,0.5,0.998,0.999
UQCRC2,UQCRH,9606.ENSP00000268379,9606.ENSP00000309565,0,0,0,0,0.33,0.992,0.944,0.8,0.999
CDC5L,CTNNBL1,9606.ENSP00000360532,9606.ENSP00000355050,0,0,0,0,0.291,0.971,0.9,0.965,0.999
DNAJB1,HSPA4,9606.ENSP00000254322,9606.ENSP00000302961,0.041,0,0.276,0,0.29,0.845,0.475,0.999,0.999
GAPDH,RPL13A,9606.ENSP00000380070,9606.ENSP00000375730,0,0,0,0,0.256,0.131,0.9,0.997,0.999
CDC5L,CWC15,9606.ENSP00000360532,9606.ENSP00000475615,0,0,0,0,0.246,0.997,0.9,0.887,0.999
FOSL2,JUNB,9606.ENSP00000264716,9606.ENSP00000303315,0,0,0,0,0.224,0.88,0.9,0.996,0.999
BRCA1,CHEK2,9606.ENSP00000418960,9606.ENSP00000372023,0,0,0,0,0.218,0.842,0.5,0.997,0.999
EP300,SP1,9606.ENSP00000263253,9606.ENSP00000329357,0,0,0,0,0.204,0.926,0.8,0.969,0.999
CDC5L,PLRG1,9606.ENSP00000360532,9606.ENSP00000424417,0,0,0,0,0.203,0.997,0.9,0.996,0.999
FKBP5,HSP90AB1,9606.ENSP00000444810,9606.ENSP00000360609,0,0,0,0,0.192,0.798,0.5,0.994,0.999
FKBP5,HSP90AA1,9606.ENSP00000444810,9606.ENSP00000335153,0,0,0,0,0.19,0.988,0.5,0.996,0.999
BCAS2,CWC15,9606.ENSP00000358554,9606.ENSP00000475615,0,0,0,0,0.186,0.959,0.9,0.902,0.999
BAG3,HSPB8,9606.ENSP00000358081,9606.ENSP00000281938,0,0,0,0,0.182,0.841,0.72,0.996,0.999
HSPA9,TIMM44,9606.ENSP00000297185,9606.ENSP00000270538,0,0,0,0,0.178,0.946,0.8,0.996,0.999
EP300,NCOA3,9606.ENSP00000263253,9606.ENSP00000361066,0,0,0,0,0.175,0.88,0.8,0.993,0.999
FOSB,JUND,9606.ENSP00000245919,9606.ENSP00000252818,0,0,0,0,0.173,0.964,0.9,0.998,0.999
BIRC2,RIPK1,9606.ENSP00000477613,9606.ENSP00000259808,0,0,0,0,0.17,0.893,0.9,0.996,0.999
